,ku
0,あきのみつ	まくらゆふのの	いくたかは
5210,えたたるる	まくらいつくに	かりねして
5211,おいさりし	さきとてとほき	よなりきや
5212,かくれすと	いはぬはかりの	なかなるに
5213,きをふくも	くるるはかりの	やまこえて
5214,くもうすき	かたやまさとは	しつかにて
5215,けぬへきを	あはれそとふる	よはのつき
5216,ことのはに	かかくるものの	いかなれや
5217,さかきはに	さくややたひの	しものはな
5218,しももたた	ふりつくりぬる	あきのかせ
5219,すてしよの	めさめはきみか	よのなかに
5220,せみこゆる	こひにききなれ	ゆふひかけ
5221,そことなき	かすみはよつの	まさましに
5222,たききこる	みねのあなたや	くちぬらむ
5223,ちらぬまの	こころやはるも	しらさらむ
5224,つゆなから	つみしさくらの	はなかたみ
5225,てふとりの	みねにのへたつ	かりなきて
5226,とるたひの	はつねやちかき	さよしくれ
5227,なきたつも	しけきこのはの	うちちりて
5228,にほひくる	はなはいつくの	ほとならむ
5229,ぬきおける	たもとのしもを	うらやみて
5230,ねのひせし	まつのをやまは	ゆきとけて
5231,のりにみを	うけくるたれか	あさからむ
5232,はなはいつ	ちるともちらは	はるもなし
5233,ひとなみの	なかははくもり	かみまつり
5234,ふかくしも	ひとこゑしけく	うちなきて
5235,めつらしき	しはのいほりの	すてをふね
5236,ほとときす	まつゆふひかけ	のとかにて
5237,まつかせも	ねられさりしに	つきをみて
5238,みさへあり		はなかつきるる	ゆふすすみ
5239,むねよりも	ともなひつつく	かたをりと
5240,めこませよ	くすはのかたは	へたてきて
5241,ものおもふ	にはのいけみつ	きりはれて
5242,らうつつく	ちまたのつきに	たたすみて
5243,りむしもも	わすれははてす	くさまくら
5244,るいるへき	とのまのゆふひ	ふけそひて
5245,れいならて	よをこめつつは	おもひわひ
5246,ろきやま	おほろにみえて	ふるゆきに
5247,わかうらみ	よそへてひとに	しらせはや
5248,あひにあひぬ	そのきさらきの	はなのはる
5249,いまこむの	こころことのは	いたつらに
5250,うめやなき	いへつつきにほふ	みとりかな
5251,えそすきし	うたのすみこし	あまのかは
5252,おくやまの	みねよりをちに	はきかけて
5253,かへるには	しかむかきなき	ものおいて
5254,きぬきぬの	あとこそさとの	なかめなれ
5255,くももなき	そらやまことに	かすむらむ
5256,けふのみち	うらみはかたし	たつのかと
5257,ここにかみ	よをすみよしと	あとたれて
5258,さとけふる	をきのおとへの	くれさひし
5259,しくるとも	たみののしまに	くちやらて
5260,すさましき	かけのおちはの	つきふけて
5261,せきこゆる	ときはかきはの	やまのかけ
5262,そへてやる	みちもたえたえ	かへるのに
5263,たつぬれは	このまろとのも	くさのはら
5264,ちることに	ならふなさけの	いかはかり
5265,つりふねの	みきはにひとり	そてふれて
5266,てにとらぬ	ははききなから	かけにきて
5267,とりのなく	つつみのあさし	ひをたきて
5268,なきてたに	かへるかたなき	しかのしま
5269,にほひくる	はなのいろより	あけはなれ
5270,ぬきおける	たのものすゑの	ゆふまくれ
5271,ねぬるまの	くるまのやかた	いろつきて
5272,のりのしの	わかれにたにも	なほすみて
5273,はやせかは	このころさくら	はやふさし
5274,ひとことも	よにもるへきは	こころにて
5275,ふなてせの	よしののはなは	みまくほし
5276,めくりきて	やへたつくもや	はやかすみ
5277,ほとときす	なかすはあめの	すさきかな
5278,またのこる	せみひくらしも	こさへきて
5279,みちしはの	あとやはなにも	たえぬらむ
5280,むしのねを	いまはたよりも	いかならむ
5281,めつらしき	ひとをはかなみ	すてかねて
5282,ものおもひ	なきをこころに	さたまらて
5283,らうかせに	あめふりそめて	なきふりて
5284,りうすいを	たつねしつきの	いろすみて
5285,るはきて	なほこまくらす	ゆふあらし
5286,れいならす	なれはかなしき	よをしらて
5287,ろきうち	ひとかたらるる	あきのそら
5288,わすられむ	つきになみたや	うまるらむ
5289,あかつきに	なるをもしらす	つきすみて
5290,いそきつつ	とくるこほりの	くれわたり
5291,うつつにも	またしらかはの	ころもへぬ
5292,えのくもに	はなのいろいろ	むらきえて
5293,おもふとち	みやこにひとの	かへりきて
5294,かきりある	としのへたては	つきにたて
5295,きのふみし	はなかとりなく	あさかすみ
5296,くれことに	まてはこころも	すむつきに
5297,けふことに	のりにききなせ	ほとときす
5298,こほりゐし	いけみつむすふ	たますたれ
5299,さとまては	くもらぬゆきを	みやまかな
5300,しらゆきの	あかしのとこの	めはさめて
5301,すりかたき	ふるさととほみ	わかれきて
5302,せみのこゑ	そてのしくれに	くれかかり
5303,そてはたた	ふらすこころも	くれぬへし
5304,たむけせし	みたれかたらひ	うすきみに
5305,ちるはなに	あすはをしほや	ゆきのそて
5306,つきもけさ	はなのこのめや	しくるらむ
5307,てふとりに	くらさぬひなき	はるのくれ
5308,とにかくに	おもふすたれも	なきよにて
5309,なもしらぬ	こくさのうちの	みちほそみ
5310,にはかなる	あめにかはつの	くさかさに
5311,ぬししらぬ	われにやそての	かへるらむ
5312,ねかふこそ	つきにしられぬ	あきのなみ
5313,のへのすち	ふくるこほりの	とけそめて
5314,はきかえを	とめはしめゆふ	さよまくら
5315,ひもすすし	ゆふたつくもの	おほえやま
5316,ふきまよふ	かせはこのまの	あさまたき
5317,めくるまを	おもへはこその	しくれかな
5318,ほとときす	まことはけふを	はつねかな
5319,まつむしの	ほのめきよれは	をきのおと
5320,みをすつる	こころをもちの	たよりにて
5321,むらさめや	たけのはつたひ	すきぬらむ
5322,めつらしく	まちうつもたた	のにかれや
5323,もろこしの	まなひはしるき	かへるさに
5324,らうつつく	ちまたのつきに	たたすみて
5325,りうすいを	たつねしつきの	いろすみて
5326,るに	くもはちしも	なしはてて
5327,れいならぬ	こころにこころ	もてけちて
5328,ろくなる	あきのひかすの	なかめして
5329,わたしもり	ふねひくあとに	つゆみえて
5330,あしたつの	うれはよしのの	おやもなし
5331,いろわかぬ	はなのさかりの	ひさしくて
5332,うつのやま	ここもたつたの	もみちかな
5333,えにしたた	こころとそめし	ものおもひ
5334,おもはぬを	こころやすくる	おいかみに
5335,かたらはは	ちとせのあふせ	とふものを
5336,きりおさて	かけあたたかの	かとたかな
5337,くたくらむ	いはにあたりの	おとろかて
5338,けふのみも	あかつきつきに	すみかへて
5339,こころにや	ひとまちえても	なれぬらむ
5340,さやかなる	いろこそみゆれ	はるのかせ
5341,しをれたる	たもとをよるは	かたしきて
5342,すてふねや	つきにむかふも	しらさらむ
5343,せみのなく	こすゑはかりの	むらしくれ
5344,そむそめす	くさきやおのか	あきのいろ
5345,たまつさを	てにはとりとや	まつのおと
5346,ちきりしは	もとのこころの	いろこめて
5347,つきやたた	かすめるつゆに	うつるらむ
5348,てらわひぬ	やよひをふるる	かみつかさ
5349,とるつかの	みしかきふてや	しのふらむ
5350,なつくさの	かけにしられぬ	はなさきて
5351,にはにいる	つきのつきはや	うすくもり
5352,ぬさとひと	はなのはやかに	おちつかせ
5353,ねぬるよを	しくれめにたる	くさとみて
5354,のとなれぬ	あしからこゆる	こまちにて
5355,はかなくや	いせのみやこは	すつるらむ
5356,ひとつらの	まひのすみかを	とひこえて
5357,ふかからぬ	なさけをみても	たのままし
5358,めくりあはむ	とはかりおほき	こころにて
5359,ほのかなる	あしひはきりに	つゆちりて
5360,まきのとや	ちりてかへらぬ	はるならむ
5361,みをしれは	なみたもひまも	そふならし
5362,むかしこそ	つりたれしえに	くさおひて
5363,めつらしき	あとこそひとに	おもひつれ
5364,ものおもへは	またおいやらぬ	みもおいて
5365,らうみちに	うつろふふちの	いかはかり
5366,りちのねに	こころのまくら	あはれしれ
5367,るにそあれは	わかれぬかたの	みちならむ
5368,れむかをは	よしやよとめし	からころも
5369,ろつきの	あかつきかけに	てふのねて
5370,わかうゑし	ひともとすすき	ほにいてて
5371,あれほのは	なみたもやまを	そめやせむ
5372,いそかるる	こころのすゑを	いかかせむ
5373,うめさくら	はなよりはなに	うつるかな
5374,えをひろみ	こゆるいはねの	しらなみに
5375,おもかけは	いくたひみるも	やすらはね
5376,かきりたに	いつともあらぬ	よのなかに
5377,きよからぬ	かけたにみえぬ	おちはかな
5378,くれなゐに	かすみをくくる	あさひかな
5379,けさはよの	いろかをそふる	けふのはる
5380,このはにや	さわくるなつと	うつるらむ
5381,さかつきは	わすれむものを	そてのつゆ
5382,しつかよは	ふしのしけいと	へかたくて
5383,すきのこす	たのもにたれか	なかるらむ
5384,せみのなく	かたつやまさと	あきかけて
5385,そてしらぬ	つきのみいけの	おもかけに
5386,たつぬへき	あともよしのの	おくしめて
5387,ちのなみた	かりはのとりや	おとすらむ
5388,つきのこる	ひとよのまのの	あくるのに
5389,てふとりと	よそほひたてし	まひのそて
5390,とやむらの	よこあらたまの	あらはにて
5391,なつころも	をりはへいくよ	ゆふつくよ
5392,にしききも	かたおもひゆゑ	たてそへて
5393,ぬれぬれむ	なみいかはかり	すすかかは
5394,ねやのうへに	しきたつかせや	しをるらむ
5395,のりにみを	うけくるたれか	あさからむ
5396,はかなしや	ありしかほなる	くさのいほ
5397,ひをくらく	ひねのやへまも	あれぬれや
5398,ふきしをる	かせはまつにも	かたくひて
5399,めくりきて	ふるあとみれは	つゆもなし
5400,ほとけにも	かはらぬこそは	こころなれ
5401,まりをふみ	ほのかにてらす	ゆきかとり
5402,みとりこは	ひとのうきにも	なくはかり
5403,むしのねも	よわるはきりの	へたてかな
5404,めくりてや	おなしねさめに	しくるらむ
5405,ものおもふ	そてとやつきも	ちきるらむ
5406,らうすきの	こすゑむらむら	ちりいてて
5407,りえぬとも	しのひけりとや	しらさらむ
5408,るりいろの	あめにいろこき	かすみかな
5409,れいならは	なほうちとけて	かたるよに
5410,ろくな	あきのみやこの	としのくれ
5411,わかくさの	いろやゆふへを	のこすらむ
5412,あつさゆみ	やまちやこえし	からころも
5413,いりあひの	かねきくまてに	なかめして
5414,うめはたた	にほひをちらせ	はきかはな
5415,えたたるる	はなのこかけも	うらかなし
5416,おもへたた	のりのことのは	のはくれて
5417,かりなきて	さむきそらすむ	あしたかな
5418,きくもうし	はなかきかすか	やとのうめ
5419,くさむしろ	はきははしさす	にしきかな
5420,けたものや	このもとすみの	はらはれて
5421,ころもうつ	おとのきりまの	さむきひに
5422,さしかくす	すすのいほりの	ひまをあらみ
5423,したふへき	ことはのはなも	いかならむ
5424,すてひとの	みちやゆくてに	むかふらむ
5425,せきもりを	みるふすとりの	すゑのかな
5426,そめそめて	こからしになる	しくれかな
5427,たなひくも	はるのかりねの	すみところ
5428,ちはやふえ	ももににほへる	やなきかな
5429,つかさなき	なはたかくさを	かこひうし
5430,てなならぬ	みはたたうても	みえなれに
5431,とにかくに	うきこそひとの	ゆかりなれ
5432,なみかせも	かすみのそらを	ひきとちて
5433,にほひそふ	はなやまたをる	ゆきのかけ
5434,ぬししらぬ	あさけのくもの	わくるのに
5435,ねぬるまの	ころもてさむき	はるのよに
5436,のりものを	なほなかきよと	なるものを
5437,はるさめの	ふりくもりたる	こゑはして
5438,ひとふては	なみたのうちに	やとしめて
5439,ふりはるる	あきのしくれの	たひたひに
5440,めくるまや	つきもひとこゑ	ほとときす
5441,ほとときす	くものまくらを	そはたてて
5442,またもみむ	ゆきとしつかせ	よものはる
5443,みやこやは	もみちのにはに	みねのゆき
5444,むらさめや	のきのゆふひか	さしのこし
5445,めくるまを	おもへはこその	しくれかな
5446,ももしきや	をことのはふみ	かよふらむ
5447,らうつつく	よはなとなほの	ゆふたつら
5448,りうかれつつ	のちのたかねを	ゆめさめて
5449,るりいろの	つきさへあやな	すみところ
5450,れいならす	なれるやつゆに	わかおもひ
5451,ろほそし	たまゆらかかる	そらみえて
5452,わすれても	おもひなほすそ	ならははよ
5453,あめにおち	かせにちらすは	はなもみし
5454,いけひろみ	はるのみきはに	たとたたし
5455,うらはなほ	とほくなりゆく	しものあと
5456,えたことの	ぬれこそあれと	よをうけて
5457,おいぬれは	ほしのかたより	かへりきて
5458,かすみぬる	なかれのすゑは	はれやらて
5459,きみかすむ	そのやとからむ	にひまゐり
5460,くさのとや	をちかたひとも	かへるらむ
5461,けふははや	ゆみとりうへの	まつのかせ
5462,こころさへ	みにしむほとや	しらさらむ
5463,さきにけり	ひとのことはの	はなさくら
5464,しのひえぬ	ひとはなすすき	まつみえて
5465,すむつきも	おもひあさかせ	あそふのに
5466,せりかはや	たひのゆくへも	のほるらむ
5467,そともなる	はひをもかなし	けさのつき
5468,たきぬへき	こころをみすは	たのむなよ
5469,ちるらめや	わかふるさとの	ははそはら
5470,つゆしもの	ふるきやまてら	ものさひて
5471,てふとりの	とささぬたより	たえぬへし
5472,とほさかる	くもちもかなし	あめのくれ
5473,なひきあひぬ	のはうすきりに	つつみきて
5474,にほひいてて	はらふそことも	しらくもに
5475,ぬきみたす	あらしののこり	すきかてに
5476,ねさめには	ききつるふみを	まつくにに
5477,のへのくさ	まくらのぬしも	さたまらて
5478,はるきては	なほあかすしも	おくれゐて
5479,ひかけまて	つきすみぬれは	なつしらて
5480,ふみまよふ	わさたのいなま	つゆみえて
5481,めてもみぬ	はなのやまさと	やすらひて
5482,ほとときす	こゑをなかむる	くもゐかな
5483,ましはれる	ひともおもひに	あくかれて
5484,みよしのも	なほうきときの	おくならて
5485,むらたけの	よふかくなとも	たとられて
5486,めくらすも	わかさらましの	ほとこころ
5487,もみちせぬ	こころやゆるむ	うめのはな
5488,らうとみし	みやこのはるも	たちすてて
5489,りうみしなの	あみよりもまた	きりきりす
5490,るりいろの	あまくろかせに	かせふきて
5491,れいならぬ	つきもやおいを	なかめやは
5492,ろきねや	よるのゆきまに	まちぬらむ
5493,われならて	みのうきくもの	たくひにて
5494,あらしせし	よのまのつゆの	ゆふつくひ
5495,いそやまに	ほとふるひとを	こころせよ
5496,うしとても	いかかむくらの	やとのあき
5497,えらふへき	そてともなしや	はなののち
5498,おくりつつ	いくつゆともに	たつぬらむ
5499,かすめるや	かへりてはみを	したふらむ
5500,きみにたに	いはしよはひの	あはれしれ
5501,くもにふす	ゆきとはしはし	くもおちて
5502,けふとたつ	ちきりやよよの	はるかすみ
5503,ことたらぬ	ふもとのさとを	おもひやれ
5504,さむきをも	みにしむかせの	けふことに
5505,しろたへに	いりやらぬかせの	さむきよに
5506,すきかへす	とはすゑしらぬ	やまかけに
5507,せみのなく	かたつやまさと	あきかけて
5508,そまにひく	きそちやたにを	くたるらむ
5509,たちよりて	せめてはひとに	みるもうし
5510,ちきりはや	おもひたえぬる	いもかかと
5511,つきはなほ	かたふくままに	おもひいてぬ
5512,てふとりの	みきりのうゑく	かたよりに
5513,とひくやと	はなはとまらぬ	はるのはな
5514,なかめつつ	つきにわするる	こよひかな
5515,にはもいさ	きしねになれぬ	まさこかな
5516,ぬつしとて	われからあとを	をしまます
5517,ねやひとつ	いはのかけはし	あけわたり
5518,のりのそめ	きえはゆきふる	あしたかな
5519,はとりこし	はふきしらする	あめすきて
5520,ひとのよは	ひときのかけを	ちきりにて
5521,ふりまさる	しくれもたかき	うもれみつ
5522,めくりてや	おなしねさめに	しくるらむ
5523,ほとけには	なるもならぬも	こころにて
5524,まきのはや	たかさよことの	なみのうへ
5525,みつむすふ	あらしにぬるる	やなきかな
5526,むらさめや	あとさらにまつ	ゆきもなし
5527,めくりあはむ	とはかりちきる	せきこえて
5528,もののふや	つみにひたれを	なけくらむ
5529,らうかはし	このはののちも	さたかにて
5530,りうすいをも	ゆくはりかねの	けふりかな
5531,るりのいろ	きぬたのおとや	さむからし
5532,れむかひの	つゆのみやこや	のこすらむ
5533,ろけよと	みつをもすてつ	ほとときす
5534,わののうめ	かれののすすき	みねのまつ
5535,あけぬるか	ねはかすかなる	よをこめて
5536,いりあひや	きりのまかきを	たつぬらむ
5537,うくひすや	かにめつるひと	やとのうめ
5538,えにさかぬ	うめはかすみの	なみまかな
5539,おもはぬを	わかはそひこく	いのちにて
5540,かへりみる	あとふきおくる	あめのあと
5541,ききのいろは	にしこそあきの	たもとかな
5542,くさふきの	しつくみにしむ	あめはれて
5543,けふのみち	うらみるはなに	あとたえて
5544,ここかしこ	たなかのやまの	なひきあひ
5545,さしそふる	ふはのせきやの	あさみとり
5546,しろたへの	あきのよそこに	つきふけて
5547,すみつきて	いろつくはきの	しくれかな
5548,せみかはや	いはほこほれし	しけるのに
5549,そてにかは	なみのひとよの	かすみかな
5550,たれもみな	ふしとやいかに	あれぬらむ
5551,ちりのけふ	やよひをよひの	そらのつき
5552,つきそすむ	なきてやかたみ	なつみえむ
5553,てつねなと	よるめるなかの	ひとりにて
5554,とりのこゑ	ゆふくれふかし	やとのたけ
5555,なきもせぬ	かひのうつらの	このゆふへ
5556,にはにみる	つゆよりくたる	さとあれて
5557,ぬさとなと	ちるをみたるる	むつのみち
5558,ねのひせし	たかよのこまつ	ふりぬらむ
5559,のこるよの	そらゆくほたる	うつろひて
5560,はなをみる	こころはおいの	ゆくへにて
5561,ひやうつる	このしたみつの	むらこほり
5562,ふりのこる	しつくはかりを	いてやらて
5563,めてしたた	せきのやとりの	いかならむ
5564,ほとけにも	かはらぬこそは	こころなれ
5565,まつむしの	くれとしもなく	みやゐかな
5566,みしまえや	えくひのなかき	あきのいろ
5567,むすふてふ	みつのあたりを	こころにて
5568,めにかかる	くももなきまや	ほとときす
5569,もみちちと	せみのはやまの	うすきりに
5570,らうすくも	いくきもとめて	たひのそら
5571,りようしなへ	このみやきのの	つきならむ
5572,るりいろの	あまのかくやま	まゆかけて
5573,れいならす	なれはつきさへ	なかめすて
5574,ろしとて	ゆふへをそそく	くれことに
5575,わかいらむ	みちのゆくへや	うつのやま
5576,あふとても	さのみかこたす	かへるさに
5577,いてぬへき	みちあらめやと	おもふよに
5578,うくひすの	こゑよるなみに	はなちりて
5579,えのうへに	さきのおりそふ	はなをみて
5580,おくれしの	ゆくへもふねを	おもひやれ
5581,かきりたに	おもひつらねて	なかきよに
5582,きしかくれ	わかれのをくる	さととほみ
5583,くれてなほ	ともなふみちは	とりかたみ
5584,けふといへは	となへたちてや	おそさくら
5585,こえかねは	かせふきあへぬ	はきかへて
5586,さととほき	のへのかすみを	かりねにて
5587,しかのねに	くもゐのかすみ	うちはふき
5588,すゑみえぬ	にははみつゆく	こほりかな
5589,せみのこゑ	おそきはとほき	はつせてら
5590,そてのゆき	うちのすかたや	はるのはな
5591,たのまれぬ	おいのよはひの	ちきりにて
5592,ちるをみよ	にははつゆけき	はるのゆき
5593,つまこめて	ほとときすまて	かきつはた
5594,てらすひも	さすをやかみに	わひはてむ
5595,とこにかへる	つゆもわすれむ	はるのくさ
5596,なのみをは	よしののおくの	かくみにて
5597,にはやあめ	せみのはつもる	あらしかな
5598,ぬしやたれ	やまのもみちの	こまならむ
5599,ねにたては	おもひのつきの	なこりにて
5600,のるこまも	みたれかちなる	とりなきて
5601,はるののに	けふとさそひし	こまなへて
5602,ひときたつ	ふもとのまつは	しもさえて
5603,ふゆこにも	ふりわけかみの	たなはして
5604,めてつつや	よのうきことに	もらすらむ
5605,ほとちかし	ちきりしらする	わかこころ
5606,まつかえの	みちよりわれは	のむさえて
5607,みかくれの	つきはとはれぬ	よをまちて
5608,むらとりの	ねくらあるへき	ころもてに
5609,めくりきて	みやゐのかせも	すさひにて
5610,ものをのみ	おもひつらねて	なかきよに
5611,らうかれし	やとのとほそは	あめのうち
5612,りうすいそく	みつともあらぬ	はちすかな
5613,るかくれの	かすみのうちの	みねたかみ
5614,れいならぬ	こころもはなや	ちりなまし
5615,ろつらき	おもひのなみに	そてぬれて
5616,わかくさは	あきまつはなの	こかけかな
5617,あめさむし	くものいつくか	みねのゆき
5618,いつとかて	おもひさたむる	はなならむ
5619,うめやまた	はなをいとなむ	としのくれ
5620,えたもなく	あをはのはなに	ましはりて
5621,おちふれて	なみたもうもる	いほのうち
5622,かれきには	うゑたるさるそ	さけひころ
5623,きるになと	われのみちなる	つきはをし
5624,くちのこる	このいしやまの	こけころも
5625,けふもまた	しらぬあるしや	たのままし
5626,ことつもる	まかきのそとも	あはれにて
5627,さみたれは	ゆふへくもりに	くみかさね
5628,しろたへを	かせのいろなる	あふきかな
5629,すゑはまた	うすきかすみに	けふもれて
5630,せきやとり	かはおとしろき	あきみえて
5631,そてまての	つゆともあらす	うちかへし
5632,たますたれ	ぬれてゐくるも	しかなきて
5633,ちれはまた	はなもくもゐる	よしのやま
5634,つねにきく	なみうゑやまて	あけぬらむ
5635,てりたてぬ	めくみをあはぬ	よのなかに
5636,としのうちの	あめゆふさとに	しくれきて
5637,なもしらぬ	しつやころもの	あさひかけ
5638,にはひゆく	みつにつもれる	くさおひに
5639,ぬるかとよ	はしのとほその	ゆふひかけ
5640,ねぬへきも	つらさによらは	うきよにて
5641,のきちかき	やまにやまちの	わかはかな
5642,はなちれは	わかみのうへも	すきけらし
5643,ひとはより	うすゆきこほる	みなかみに
5644,ふるさとの	ことかたらなむ	あまつかり
5645,めつらしき	ひととはなにも	たのまめや
5646,ほたるこそ	あまれるさとも	あはれなり
5647,まつむしの	ゆふすすみつき	いとまいけ
5648,みちつくる	こほりのをふね	こきかよひ
5649,むかふひも	さはれすすけむ	おとはかは
5650,めくらしと	いひしはいかに	またるらむ
5651,もろこしも	つきのいるそら	のとかにて
5652,らうかはし	かみなりとよむ	あまのはら
5653,りうくひすの	こゑのけしきや	あきのいほ
5654,るをのりの	こころもゆかむ	みはうきに
5655,れいならぬ	こころもはなや	ちりなまし
5656,ろかみに	おもふさとあれや	かへるかり
5657,わたりかは	かへらぬみつと	きくもうし
5658,あをやきに	やとるとみしも	はなさきて
5659,いまやすく	ゆふへなりける	ゆきのうち
5660,うすこほる	たにのはるかせ	みねこえて
5661,えをとほみ	わかみにくたる	のりのかと
5662,おとはかは	なかれのなみに	ふなてして
5663,かりそなく	こころしつむる	ゆきのひに
5664,きつねなむ	ことわりもなし	ゆめさめて
5665,くるつきに	こぬをおもへは	みやまかは
5666,けふはまつ	わかなつむなり	みやこひと
5667,こぬひとや	こゑつつむしの	ねになきて
5668,さりともと	つきのゆくへの	かたらふに
5669,しろたへの	ゆきのやまもと	けしきにて
5670,すゑさむし	みやこのいちの	すきのかは
5671,せくみつを	こほりにゆつる	くちはかな
5672,そてのつき	たたならはしに	やとらめや
5673,たのめても	またまちえむは	おもひわひ
5674,ちりつもる	とこはこほりの	うつろひて
5675,つゆしろき	あしのはわたる	たひころも
5676,てならひは	こころのままの	いへゐかな
5677,ときをえの	うらみはふかき	のにいてて
5678,なつくさを	むすひてかへる	はるもかな
5679,にはとりの	おとすはきりの	ひとはかな
5680,ぬれきぬを	ほせやなみたの	かはやしろ
5681,ねになきて	ゐてのわかれや	しらさらむ
5682,のをとほみ	しかなくこゑの	きこえきて
5683,はなゆゑに	ひとよのわきの	つゆしくれ
5684,ひろきのの	しつくにねむり	おもひやり
5685,ふるさとの	のへをもつきに	ききあかて
5686,めさまして	つゆはかりこそ	ふりけれね
5687,ほしまある	みやはいまさく	みたのもり
5688,まつかせの	こゑやちさとに	すてつらむ
5689,みのゆくへ	こころとをこそ	いふひとに
5690,むらさめの	ありあけのこす	くもまかな
5691,めくりきて	かけもしくるる	ふるやなき
5692,もみちせは	たちよりもみむ	しものには
5693,らうかせの	ふきすさましき	そはつたひ
5694,りようわうを	あひおひこもる	ふてのあと
5695,るりいろの	あまねきときは	なほふりて
5696,れいならす	なれよわれなむ	はなのそて
5697,ろきには	しくれをいつる	このはかな
5698,わかみよに	かくやもおひの	かけもなし
5699,あひみての	なさけをしらは	いかならむ
5700,いかにふく	あらしやゆきに	まよふらむ
5701,うちなひく	たけひとむらの	あさつゆに
5702,えたもたた	しかをやつねに	かへるらむ
5703,おもふこと	あはれとはたた	くらゐにて
5704,かつらきの	はしをはわくる	あさほらけ
5705,きみかよは	ななのかけせし	おもひくさ
5706,くれたけの	よるのまかひに	ゆきふりて
5707,けふはくれぬ	あすまにきくを	さすらめや
5708,こたかかり	つきはよるよや	あけぬらむ
5709,さみたれの	いろこきそはれ	おとさえて
5710,しらさりし	みやまおろしに	たちうかれ
5711,すゑのはに	かすみたとひて	おくふかみ
5712,せみのこゑ	のこすなみたの	たちきかな
5713,そめてまた	しくれやあらふ	うすもみち
5714,たにくたる	このしたもえに	よはあけて
5715,ちきりしは	えやはわすれむ	ふみのうち
5716,つゆふかみ	ぬきうたひとの	ゆきとちて
5717,てふとりに	くさためぬやと	ことたりて
5718,ともしひの	いることのはの	すゑのよに
5719,なほもりの	ところところに	まれのうち
5720,にきはひの	けふりひとたひ	たちかへて
5721,ぬきおける	たもとのつゆを	まつのかせ
5722,ねぬるまの	ころもてさむき	はるのよに
5723,のわきめく	ゆふくれふかし	あきのこゑ
5724,はなのかや	そらにかすみの	あさみとり
5725,ひもすすし	ゆふたつくもの	おほえやま
5726,ふたりくる	まくらのつきに	あまつくも
5727,めくりきて	やへたつそての	しくるらむ
5728,ほともなく	ゆきをうつらの	とこかへて
5729,まつむしの	つゆのたまのを	わくるのに
5730,みしゆめの	あともなきのの	くさまくら
5731,むすふてふ	みつのあたりを	おもひやり
5732,めもみみは	あらぬこそたた	ゆかしけれ
5733,もみちさへ	あらぬはなちる	すゑはかな
5734,らうすきの	こすゑひとむら	ゆきはれて
5735,りうすいを	たつねしひなの	やまこえに
5736,るれはかくて	ものうらめしく	うちそひて
5737,れいよりも	おいきのはるを	こころにて
5738,ろかみの	あきもくれゆく	あきことに
5739,わすれぬを	なほうきなかの	ちきりにて
5740,あのうつを	なかくてそへむ	つきもなし
5741,いさめすは	きみかこころの	いかならむ
5742,うつらなる	よをいたつらに	あきをへて
5743,えらふには	ふりにしさとも	のとかにて
5744,おもふこと	みにのこさしの	おいのすゑ
5745,かせませに	おもゐなかるる	しひかくれ
5746,きりきりす	ややそてたのむ	のはかれて
5747,くさまくら	おもひはてても	やまとうた
5748,けふななほ	てらひささをそ	みねのまつ
5749,こひゆゑや	なにはにたてる	けさのゆめ
5750,さとひとの	こまをわするる	はつねかな
5751,したそよく	あしのかりやの	ねやのうち
5752,すゑとほき	はしにおもむく	こまとめて
5753,せみのはも	かさねまほしき	からころも
5754,そめゆくや	かへれやまひま	うすかすみ
5755,たひにゆく	うまやちとほく	ふるあめに
5756,ちしほをも	なるへきたのむ	ひとはうし
5757,つほみえは	わかうらやまの	あさみとり
5758,てにふれぬ	とほやまあゐの	はなさきて
5759,とまりにと	もらははかたき	よをいてて
5760,なみとほく	ふりにしひとは	きをやみて
5761,にはひまて	ゆきのよとてや	しらむらむ
5762,ぬれぬれむ	つゆともひとに	いひはやみ
5763,ねにかへる	はなのうきくさ	うつもれて
5764,ののみやの	にはあれまさる	あきくれて
5765,はなやひく	かへるそてみぬ	こかけかな
5766,ひとすまぬ	はなにみやまの	つきいてて
5767,ふるさとは	ほとけもいなし	みやのうち
5768,めくるよを	おもへはみつの	あわなれや
5769,ほとときす	ももちのとりは	こゑもなし
5770,ますらをの	かけにやつゆの	ふけぬらむ
5771,みつをひく	をのへのこはき	いろつきて
5772,むらさきに	いりあひさえて	やまとほし
5773,めくりきて	さむさをおもふ	しらへにて
5774,ももくさや	ちくさいろつく	かせならむ
5775,らうかはし	かはへのみつの	うきくさに
5776,りむしは	しるへくらきの	やまのかけ
5777,るいまはた	かみのまひひす	まちけらし
5778,れいならて	はるをふきこす	なみまくら
5779,ろしゑや	またみつさむし	ゆきのやま
5780,わすれこし	こころのなには	かくやまて
5781,あはれにも	すはのはきくや	はなさかり
5782,いけみつは	きりのまかきの	うちにして
5783,うみかけて	かはきりしろき	あさひかな
5784,えたうこく	さはへのまつは	そこもなし
5785,おもふこと	よひともいかて	さためまし
5786,かせわたる	まつにつもりの	うらかれて
5787,きぬきぬの	あさけのつゆを	わすれかね
5788,くるひとも	こころとめては	なるものを
5789,けさのあさけ	きゆるしくれや	たゆむらむ
5790,こひしさを	わかよのあきの	くさまくら
5791,さやかなる	いろこそあきの	こころなれ
5792,しろたへの	しものまさこち	よはあけて
